sgRNA	Gene	HL60.initial	KBM7.initial	HL60.final	KBM7.final
ACIN1_p23538701	ACIN1	398.0608900632773	260.1752796288041	175.00306402985362	111.84436543894586
ACIN1_p23538719	ACIN1	628.8208263318439	542.7497555170416	731.123911946944	643.6876240105998
ACIN1_p23538730	ACIN1	928.8087434809805	456.59900067306677	681.2156307236154	466.0181893289411
ACIN1_p23538735	ACIN1	242.2979330819949	172.30150968794973	29.167177338308935	0.0
ACIN1_p23538745	ACIN1	558.1505958495954	594.4402084234266	579.4545897877375	275.5332544407364
ACLY_m40069993	ACLY	1244.661406248581	1369.7970020192004	1167.3352530287643	614.561487177541
ACLY_m40070008	ACLY	321.6216611743147	441.0918648011513	53.149078705362946	24.465954939769407
ACLY_m40070029	ACLY	129.8024641510687	234.33005317561162	126.39110179933871	66.99011471603528
ACLY_m40070097	ACLY	486.03811576566835	568.5949819702341	287.1346569082413	248.15468581766115
ACLY_m40070116	ACLY	990.8254763531577	1069.9923751621677	1271.0407724538627	1022.9099255770258
ACLY_p40069998	ACLY	861.023012202089	694.3750840424374	552.880050435056	605.2411233909622
ACLY_p40070033	ACLY	1564.8408178212171	1075.1614204528064	622.2331165505906	129.90257027544234
ACLY_p40070039	ACLY	308.6414147592078	244.6681437568886	91.390488993368	366.4068013598799
ACLY_p40070062	ACLY	503.34511098581083	261.89829472568357	211.29999582863806	128.73752480212
ACLY_p40070105	ACLY	747.0852936694843	461.7680459637053	574.9174733128895	607.571214337607
ACO2_m41865159	ACO2	1169.6644269612968	852.8924729553512	875.6634796456749	383.8824834597152
ACO2_m41895784	ACO2	809.1020265416615	840.8313672771947	1166.0389340359504	1365.4332947337975
ACO2_m41895810	ACO2	2187.8926457463467	1738.5222327514127	1492.7113202250105	1264.0743385547528
ACO2_m41895824	ACO2	579.7843398747735	323.9268382133455	300.0978468363786	692.0370111534776
ACO2_m41903807	ACO2	465.84662134216876	1092.3915714216014	888.6266695738123	786.9882172292492
ACO2_p41865164	ACO2	634.589824738558	301.527641953912	684.4564282056497	496.3093716353223
ACO2_p41895716	ACO2	297.1034179457795	337.7109589883815	415.4702371968006	490.4841442687105
ACO2_p41895844	ACO2	259.6049283021374	510.0124686763312	386.3030598584917	587.1829185544658
ACO2_p41903797	ACO2	556.7083462479169	646.1306613298115	387.5993788513054	101.94147891570587
ACO2_p41903813	ACO2	1025.4394667934428	473.82915164186176	1223.0769697197547	706.600079570007
ACP1_m264983	ACP1	2065.301429603671	1686.8317798450278	1612.6208270602806	1900.1891669887573
ACP1_m264989	ACP1	1429.2693552634341	1293.9843377565026	1801.8834000110853	1258.8316339248022
ACP1_m272095	ACP1	501.9028613841323	649.5766915235705	508.8052046793892	798.0561492258116
ACP1_m272137	ACP1	1697.527781175643	701.2671444299554	811.4956895013952	616.3090553875246
ACP1_p264954	ACP1	1243.2191566469023	1356.0128812441644	954.7389382073125	1269.8995659213645
ACP1_p272032	ACP1	1586.4745618463953	1385.3041378911157	1406.5061072028975	1295.5305663344564
ACP1_p272042	ACP1	846.6005161853036	1149.2510696186248	915.2012089264937	891.842309828261
ACP1_p272054	ACP1	633.1475751368796	416.96965344483834	158.79907661968198	456.6978255423623
ACP1_p272099	ACP1	346.1399044028499	315.311762728948	355.19140403096213	452.0376436490729
ACP1_p272185	ACP1	1595.1280594564664	773.6337784988942	977.4245205815528	1310.6761574876468
ACRC_m70811980	ACRC	452.8663749270619	487.61327241689776	457.60060446324684	905.240332771468
ACRC_m70814198	ACRC	74.99697928728413	87.87376994085436	459.54508295246745	363.4941876765741
ACRC_p70800656	ACRC	253.83592989542325	665.083827395486	548.3429339602079	570.8722819279528
ACRC_p70800697	ACRC	227.8754370652095	661.6377972017269	283.2456999298001	475.9210758521811
ACRC_p70800703	ACRC	1367.2526223912569	1428.3795153131032	1068.1668500785138	542.3286678315552
ACRC_p70800708	ACRC	2350.866850736022	2369.145758209309	2530.414673972402	2506.0128131163806
ACRC_p70811990	ACRC	486.03811576566835	587.5481480359085	1191.3171543958183	1646.7917765411455
ACRC_p70814182	ACRC	669.2038151788431	797.7559898552072	1615.2134650459082	1357.8604991572022
ACRC_p70814187	ACRC	943.2312394977658	1064.8233298715293	985.850594034842	921.550969397981
ACRC_p70814200	ACRC	1903.7694742156743	1250.908960334515	968.3502876318566	1123.6863590194093
ACSL6_m131326625	ACSL6	628.8208263318439	184.3626153661062	921.6828038905624	597.668327814367
ACSL6_m131326630	ACSL6	1012.4592203783359	587.5481480359085	824.4588794295325	1282.132543391249
ACSL6_m131326651	ACSL6	618.7250791200942	671.9758877830039	1096.037708424009	1449.3165688130068
ACSL6_m131329874	ACSL6	780.2570345080908	1037.2550883214574	1401.9689907280494	831.8424679521598
ACSL6_m131329908	ACSL6	992.2677259548362	840.8313672771947	572.9729948236688	427.5716887093035
ACSL6_p131329816	ACSL6	1763.8712628528558	1042.4241336120958	1267.1518154754215	1001.3565843205622
