id	Score	FDR	LogFDR	EntrezID	Symbol	HumanGene
CBX7	0.25719	0.917605	0.0373442286437402	23492	CBX7	CBX7
ARHGAP35	0.22994	0.94133	0.0262581002125976	2909	ARHGAP35	ARHGAP35
ADAM12	0.20184	0.915212	0.0384782941677287	8038	ADAM12	ADAM12
BMI1	-0.055005	0.999965	1.52005728781941e-05	648	BMI1	BMI1
BABAM1	0.03282	0.999995	2.1714778382296e-06	29086	BABAM1	BABAM1
AEN	-0.09513	0.999965	1.52005728781941e-05	64782	AEN	AEN
AP1AR	-0.007074	0.999965	1.52005728781941e-05	55435	AP1AR	AP1AR
C17orf72	0.24847	0.88567	0.0527280657829843	92340	C17orf72	C17orf72
C9orf91	0.17666	0.705966	0.151216214483539	203197	C9orf91	C9orf91
C10orf54	-0.11391	0.999965	1.52005728781941e-05	64115	C10orf54	C10orf54
AIMP2	-0.044097	0.999965	1.52005728781941e-05	7965	AIMP2	AIMP2
ALKBH8	0.09461	0.999995	2.1714778382296e-06	91801	ALKBH8	ALKBH8
C1orf192	-0.13255	0.999965	1.52005728781941e-05	257177	C1orf192	C1orf192
AJUBA	0.12854	0.913341	0.0393670463769532	84962	AJUBA	AJUBA
AKAP8	0.046992	0.975794	0.0106418566223	10270	AKAP8	AKAP8
ADH5	0.097373	0.982282	0.00776381418625162	128	ADH5	ADH5
C3orf72	0.27212	0.970615	0.0129530013301388	401089	C3orf72	C3orf72
CASP9	0.27692	0.88567	0.0527280657829843	842	CASP9	CASP9
ASXL1	-0.023517	0.999965	1.52005728781941e-05	171023	ASXL1	ASXL1
ALKBH7	-0.21145	0.999965	1.52005728781941e-05	84266	ALKBH7	ALKBH7
ASXL2	0.14559	0.853993	0.0685456891164196	55252	ASXL2	ASXL2
ANKRD23	0.095913	0.925084	0.0338188304175539	200539	ANKRD23	ANKRD23
C3orf80	-0.091515	0.999965	1.52005728781941e-05	401097	C3orf80	C3orf80
CAND2	-0.0017064	0.999965	1.52005728781941e-05	23066	CAND2	CAND2
BRMS1	-0.13546	0.999965	1.52005728781941e-05	25855	BRMS1	BRMS1
ADPRHL2	0.063457	0.999995	2.1714778382296e-06	54936	ADPRHL2	ADPRHL2
C11orf1	0.061653	0.999995	2.1714778382296e-06	64776	C11orf1	C11orf1
C3orf22	-0.1209	0.999965	1.52005728781941e-05	152065	C3orf22	C3orf22
CALCOCO1	0.20673	0.944193	0.0249392236385517	57658	CALCOCO1	CALCOCO1
AAK1	0.13215	0.524841	0.27997224570129	22848	AAK1	AAK1
BLOC1S2	-0.19266	0.999965	1.52005728781941e-05	282991	BLOC1S2	BLOC1S2
ADCY1	0.17303	0.944193	0.0249392236385517	107	ADCY1	ADCY1
BLMH	0.077326	0.999995	2.1714778382296e-06	642	BLMH	BLMH
CASP7	0.10304	0.999995	2.1714778382296e-06	840	CASP7	CASP7
CACNA1A	-0.043353	0.999965	1.52005728781941e-05	773	CACNA1A	CACNA1A
ARL2BP	0.1869	0.931957	0.0306041253000258	23568	ARL2BP	ARL2BP
ALPK3	-0.06019	0.999965	1.52005728781941e-05	57538	ALPK3	ALPK3
C12orf5	0.11791	0.999995	2.1714778382296e-06	57103	C12orf5	C12orf5
ADD3	-0.049332	0.999965	1.52005728781941e-05	120	ADD3	ADD3
C10orf25	-0.081914	0.999965	1.52005728781941e-05	220979	C10orf25	C10orf25
C11orf82	-0.22441	0.999965	1.52005728781941e-05	220042	C11orf82	C11orf82
BCL2L10	0.16352	0.982282	0.00776381418625162	10017	BCL2L10	BCL2L10
ALS2CR8	0.3926	0.637417	0.195576358013622	79800	ALS2CR8	ALS2CR8
C1orf100	-0.042984	0.999965	1.52005728781941e-05	200159	C1orf100	C1orf100
C4orf21	-0.033202	0.999965	1.52005728781941e-05	55345	C4orf21	C4orf21
C6orf1	-0.072922	0.999965	1.52005728781941e-05	221491	C6orf1	C6orf1
C12orf10	-0.096116	0.999965	1.52005728781941e-05	60314	C12orf10	C12orf10
CCDC110	0.16412	0.846535	0.0723550812731394	256309	CCDC110	CCDC110
ATXN1	-0.0092327	0.999965	1.52005728781941e-05	6310	ATXN1	ATXN1
ANKRA2	0.028458	0.999995	2.1714778382296e-06	57763	ANKRA2	ANKRA2
BOLL	-0.0017255	0.999965	1.52005728781941e-05	66037	BOLL	BOLL
C20orf197	0.029836	0.999995	2.1714778382296e-06	284756	C20orf197	C20orf197
ACSL6	0.12133	0.928561	0.0321895608598947	23305	ACSL6	ACSL6
C16orf97	-0.10672	0.999965	1.52005728781941e-05	388276	C16orf97	C16orf97
ASB9	0.0061771	0.999995	2.1714778382296e-06	140462	ASB9	ASB9
ACVR2B	0.12233	0.917605	0.0373442286437402	93	ACVR2B	ACVR2B
C5orf45	0.026648	0.826892	0.0825512097545329	51149	C5orf45	C5orf45
C2orf47	-0.023349	0.999965	1.52005728781941e-05	51614	C2orf47	C2orf47
BRD1	-0.087265	0.999965	1.52005728781941e-05	23774	BRD1	BRD1
ACTR5	0.31965	0.928561	0.0321895608598947	79913	ACTR5	ACTR5
C7orf55	-0.057977	0.999965	1.52005728781941e-05	154791	C7orf55	C7orf55
C16orf91	0.36923	0.686974	0.163059699432742	283951	C16orf91	C16orf91
C11orf88	-0.16223	0.999965	1.52005728781941e-05	399949	C11orf88	C11orf88
ARL4C	-0.090378	0.999965	1.52005728781941e-05	10123	ARL4C	ARL4C
BEX2	0.011108	0.999995	2.1714778382296e-06	84707	BEX2	BEX2
C7orf61	-0.05409	0.999965	1.52005728781941e-05	402573	C7orf61	C7orf61
C8orf42	-0.0065082	0.999965	1.52005728781941e-05	157695	C8orf42	C8orf42
C9orf117	0.10342	0.999995	2.1714778382296e-06	286207	C9orf117	C9orf117
ATRAID	0.055839	0.928561	0.0321895608598947	51374	ATRAID	ATRAID
BET1L	0.26602	0.917605	0.0373442286437402	51272	BET1L	BET1L
BMPR2	0.074995	0.559406	0.252272879843439	659	BMPR2	BMPR2
AGFG1	-0.077399	0.999965	1.52005728781941e-05	3267	AGFG1	AGFG1
C19orf21	-0.11724	0.999965	1.52005728781941e-05	126353	C19orf21	C19orf21
C6orf10	-0.12727	0.999965	1.52005728781941e-05	10665	C6orf10	C6orf10
BIRC3	-0.05819	0.999965	1.52005728781941e-05	330	BIRC3	BIRC3
APOBEC3F	0.34761	0.754702	0.122224499103854	200316	APOBEC3F	APOBEC3F
C1orf50	0.26122	0.686974	0.163059699432742	79078	C1orf50	C1orf50
C2orf44	0.056912	0.801858	0.0959025335570112	80304	C2orf44	C2orf44
ARID4B	-0.012578	0.999965	1.52005728781941e-05	51742	ARID4B	ARID4B
C1orf43	0.0019141	0.999995	2.1714778382296e-06	25912	C1orf43	C1orf43
ATF6	0.076979	0.982282	0.00776381418625162	22926	ATF6	ATF6
ARHGAP39	-0.058275	0.999965	1.52005728781941e-05	80728	ARHGAP39	ARHGAP39
ASCC1	0.081033	0.999995	2.1714778382296e-06	51008	ASCC1	ASCC1
C5orf55	-0.05086	0.999965	1.52005728781941e-05	116349	C5orf55	C5orf55
